"itemid","objectid","orig.rating","util.rating","orig.rating_s","util.rating_s"
7257,5,2,4,-0.813825211341897,0.591444737290011
7258,5,4.5,1.5,1.26956732969336,-1.74512706434954
7259,5,3.5,3,0.436210313279257,-0.343183983365809
7260,5,3.5,1.5,0.436210313279257,-1.74512706434954
7261,5,2.5,5,-0.397146703134846,1.52607345794583
7262,5,1,5,-1.647182227756,1.52607345794583
7263,5,4,4,0.852888821486308,0.591444737290011
7264,5,2,4,-0.813825211341897,0.591444737290011
7265,5,2.5,4.5,-0.397146703134846,1.05875909761792
7266,5,4.5,1.5,1.26956732969336,-1.74512706434954
7267,5,2.5,4,-0.397146703134846,0.591444737290011
7268,5,3.5,4,0.436210313279257,0.591444737290011
7269,5,4,3.5,0.852888821486308,0.124130376962101
7270,5,1.5,4.5,-1.23050371954895,1.05875909761792
7271,5,5,1,1.68624583790041,-2.21244142467745
7272,5,2,4,-0.813825211341897,0.591444737290011
7273,6,2,4,-0.813825211341897,0.591444737290011
7274,6,2,4,-0.813825211341897,0.591444737290011
7275,6,4.5,3,1.26956732969336,-0.343183983365809
7276,6,3,2.5,0.0195318050722055,-0.810498343693718
7277,6,1,5,-1.647182227756,1.52607345794583
7278,6,2,4,-0.813825211341897,0.591444737290011
7279,6,3,4,0.0195318050722055,0.591444737290011
7280,6,4.5,2,1.26956732969336,-1.27781270402163
7281,6,1.5,3,-1.23050371954895,-0.343183983365809
7282,6,4.5,2,1.26956732969336,-1.27781270402163
7283,6,4,3.5,0.852888821486308,0.124130376962101
7284,6,4.5,4,1.26956732969336,0.591444737290011
7285,6,3,4,0.0195318050722055,0.591444737290011
7286,6,2,4,-0.813825211341897,0.591444737290011
7287,6,4,2,0.852888821486308,-1.27781270402163
7288,6,2,3,-0.813825211341897,-0.343183983365809
7289,7,3,2.5,0.0195318050722055,-0.810498343693718
7290,7,2,4,-0.813825211341897,0.591444737290011
7291,7,4.5,1.5,1.26956732969336,-1.74512706434954
7292,7,1.5,3.5,-1.23050371954895,0.124130376962101
7293,7,4,3.5,0.852888821486308,0.124130376962101
7294,7,2,3.5,-0.813825211341897,0.124130376962101
7295,7,4,2.5,0.852888821486308,-0.810498343693718
7296,7,3,1.5,0.0195318050722055,-1.74512706434954
7297,7,4,3.5,0.852888821486308,0.124130376962101
7298,7,2,4,-0.813825211341897,0.591444737290011
7299,7,4.5,2,1.26956732969336,-1.27781270402163
7300,7,1.5,4,-1.23050371954895,0.591444737290011
7301,7,3.5,3.5,0.436210313279257,0.124130376962101
7302,7,2,4,-0.813825211341897,0.591444737290011
7303,7,3.5,4,0.436210313279257,0.591444737290011
7304,7,2,3,-0.813825211341897,-0.343183983365809
7305,8,4.5,1.5,1.26956732969336,-1.74512706434954
7306,8,1.5,5,-1.23050371954895,1.52607345794583
7307,8,1.5,3.5,-1.23050371954895,0.124130376962101
7308,8,4,3.5,0.852888821486308,0.124130376962101
7309,8,3.5,3.5,0.436210313279257,0.124130376962101
7310,8,4,4.5,0.852888821486308,1.05875909761792
7311,8,2,3,-0.813825211341897,-0.343183983365809
7312,8,1.5,3.5,-1.23050371954895,0.124130376962101
7313,8,3.5,2.5,0.436210313279257,-0.810498343693718
7314,8,1,5,-1.647182227756,1.52607345794583
7315,8,5,2.5,1.68624583790041,-0.810498343693718
7316,8,2,3,-0.813825211341897,-0.343183983365809
7317,8,2,5,-0.813825211341897,1.52607345794583
7318,8,5,1.5,1.68624583790041,-1.74512706434954
7319,8,4.5,3.5,1.26956732969336,0.124130376962101
7320,8,2,5,-0.813825211341897,1.52607345794583
